method,target_node,records,valid_records,mean_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
ariadne_greedy,6,1,1,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,7,1,1,1322.4514196191788,1322.4514196191788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,12,1,1,1789.5451791885287,1789.5451791885284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,18,1,1,2499.4022410301573,2499.402241030157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,29,1,1,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,36,1,1,2710.7489993360227,2710.7489993360227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,39,1,1,2412.3592452286653,2412.3449305605654,5.933922598907921e-06,5.933922598907921e-06,0.0,5.933922598907921e-06,5.933922598907921e-06,5.933922598907921e-06,5.933922598907921e-06
ariadne_greedy,42,1,1,2373.890219490435,2373.8902194904344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,46,1,1,1194.9513235411628,1194.9513235411628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_greedy,52,1,1,2347.887157111571,2347.887157111571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,6,1,1,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,7,1,1,1322.4514196191788,1322.4514196191788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,12,1,1,1789.5451791885287,1789.5451791885284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,18,1,1,2499.4022410301573,2499.402241030157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,29,1,1,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,36,1,1,2710.7489993360227,2710.7489993360227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,39,1,1,2412.344930560566,2412.3449305605654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ariadne_lao,42,1,1,2373.890219490435,2373.8902194904344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
